,song_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
0,Like a Rolling Stone,['Bob Dylan'],spotify:track:3AhXZa8sUQht0UEdBJgpGc,0.483,0.721,0,-6.836,1,0.032,0.729,0.0,0.189,0.562,95.261,spotify:track:3AhXZa8sUQht0UEdBJgpGc,369600,4
1,Smells Like Teen Spirit,['Nirvana'],spotify:track:3oTlkzk1OtrhH8wBAduVEi,0.485,0.863,1,-9.027,1,0.0495,1.22e-05,0.0162,0.138,0.767,116.835,spotify:track:3oTlkzk1OtrhH8wBAduVEi,300977,4
2,A Day In The Life - Remastered,['The Beatles'],spotify:track:3ZFBeIyP41HhnALjxWy1pR,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,spotify:track:3ZFBeIyP41HhnALjxWy1pR,337413,4
3,Good Vibrations (Mono),['The Beach Boys'],spotify:track:5Qt4Cc66g24QWwGP3YYV9y,0.398,0.413,1,-10.934,1,0.0388,0.0822,2.54e-05,0.0891,0.331,133.574,spotify:track:5Qt4Cc66g24QWwGP3YYV9y,219147,4
4,Johnny B Goode,['Chuck Berry'],spotify:track:7MH2ZclofPlTrZOkPzZKhK,0.518,0.756,10,-10.851,1,0.0915,0.735,6.2e-05,0.317,0.968,166.429,spotify:track:7MH2ZclofPlTrZOkPzZKhK,160893,4
5,Respect,['Aretha Franklin'],spotify:track:7s25THrKz86DM225dOYwnr,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,spotify:track:7s25THrKz86DM225dOYwnr,147600,4
6,Be My Baby,['The Ronettes'],spotify:track:2G2YzndIA6jeWFPBXhUjh5,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,spotify:track:2G2YzndIA6jeWFPBXhUjh5,160907,4
7,What's Going On,['Marvin Gaye'],spotify:track:0UAu4pJ44T9X2AmaUh1hHO,0.282,0.716,1,-9.632,0,0.0985,0.451,0.0,0.399,0.83,201.958,spotify:track:0UAu4pJ44T9X2AmaUh1hHO,233000,4
8,I Heard It Through The Grapevine,['Marvin Gaye'],spotify:track:27m1soUndRthrAA1ediOXn,0.729,0.324,8,-13.017,0,0.0393,0.195,0.0,0.101,0.679,116.855,spotify:track:27m1soUndRthrAA1ediOXn,195267,4
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,['The Rolling Stones'],spotify:track:7fSGbZLhWlAiCC3HDPAULu,0.725,0.853,2,-7.842,1,0.0353,0.0348,0.127,0.196,0.904,136.282,spotify:track:7fSGbZLhWlAiCC3HDPAULu,222813,4
10,Billie Jean,['Michael Jackson'],spotify:track:5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827,4
11,Heartbreak Hotel,['Elvis Presley'],spotify:track:3T99MhhnbWTqo0Bj5lyuP8,0.688,0.223,4,-11.476,1,0.0619,0.849,2.1e-06,0.0974,0.701,93.551,spotify:track:3T99MhhnbWTqo0Bj5lyuP8,128040,4
12,Born to Run,['Bruce Springsteen'],spotify:track:4mC6yZvp9zfzp21IuLAPGD,0.253,0.868,4,-9.773,1,0.073,0.0511,0.0,0.214,0.68,146.647,spotify:track:4mC6yZvp9zfzp21IuLAPGD,269200,4
13,My Generation - Original Mono Version,['The Who'],spotify:track:6UdCTwbVAvNqbWyZKZiRWL,0.332,0.822,0,-6.558,0,0.0988,0.165,9.33e-05,0.161,0.745,96.253,spotify:track:6UdCTwbVAvNqbWyZKZiRWL,197320,4
14,Love Will Tear Us Apart,['Joy Division'],spotify:track:2JO3HwMRPeya8bXbtbyPcf,0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,spotify:track:2JO3HwMRPeya8bXbtbyPcf,206867,4
15,God Only Knows - Mono / Remastered,['The Beach Boys'],spotify:track:6iGU74CwXuT4XVepjc9Emf,0.521,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.483,117.072,spotify:track:6iGU74CwXuT4XVepjc9Emf,173040,4
16,(Sittin' On) the Dock of the Bay,['Otis Redding'],spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,166827,4
