,sugar to flour ratio,sugar index,bake temp,chill time,calories,pH,grams baking soda,bake time,quality,butter type,chocolate,raisins,oats,nuts,peanut butter
0,0.25,9.5,300,15.0,136.0,8.1,0.44,12.1,8,1,0,1,0,0,0
1,0.23,3.3,520,34.0,113.0,8.16,0.48,8.4,7,1,0,1,0,0,0
2,0.18,1.9,360,33.0,106.0,8.21,0.83,14.0,9,1,1,0,0,1,0
3,0.18,10.5,490,41.0,124.0,8.14,0.35,10.5,7,1,1,0,0,0,0
4,0.24,2.4,770,6.0,33.0,8.09,0.57,9.4,5,0,1,0,1,1,0
5,0.22,18.15,500,23.0,139.0,8.06,0.5,9.2,7,1,1,0,0,0,0
6,0.39,2.3,410,31.0,102.0,8.22,0.58,10.9,9,1,1,0,0,0,0
7,0.39,2.6,440,30.0,180.0,8.46,0.44,10.8,9,1,1,0,0,0,0
8,0.18,1.8,700,13.0,40.0,8.44,0.6,9.1,5,0,1,0,1,1,0
9,0.17,12.9,330,59.0,186.0,8.08,0.49,9.4,7,1,1,0,0,1,0
10,0.49,9.6,300,45.0,197.0,8.13,0.38,12.3,9,1,1,0,0,0,0
11,0.29,3.3,370,32.0,140.0,8.17,0.36,12.8,9,1,1,0,0,0,0
12,0.25,7.5,300,18.0,117.0,8.09,0.38,13.0,8,1,1,0,0,0,0
14,0.58,16.75,500,43.0,163.0,8.15,0.54,9.2,7,1,0,1,0,0,0
15,0.34,3.4,360,34.0,200.0,8.14,0.76,10.0,7,1,0,1,0,0,0
17,0.34,7.6,450,25.0,118.0,8.03,0.37,11.0,8,1,1,0,0,1,0
20,0.33,7.0,240,14.0,130.0,8.25,0.45,12.5,9,1,1,0,0,1,0
21,0.35,1.2,500,36.0,140.0,8.09,0.45,11.2,7,1,1,0,0,0,0
23,0.39,1.0,320,14.0,71.0,8.31,0.38,13.0,9,1,1,0,1,0,0
24,0.29,2.6,1090,31.0,119.0,8.15,0.5,9.1,5,0,0,1,0,1,0
25,0.29,1.6,520,48.0,185.0,8.21,0.5,9.4,7,1,1,0,0,0,0
26,0.31,14.5,450,39.0,193.0,8.1,0.5,9.2,8,1,1,0,1,0,0
27,0.32,2.5,420,23.0,218.5,8.27,0.6,9.8,7,1,1,0,0,0,0
28,0.32,2.4,480,35.0,103.0,8.28,0.46,12.0,10,1,0,1,0,0,0
29,0.4,2.7,820,6.0,11.0,8.44,0.54,12.2,6,0,1,0,0,1,0
30,0.49,9.0,440,31.0,185.0,8.34,0.49,10.0,8,1,1,0,0,0,0
31,0.23,2.5,440,16.0,70.0,8.46,0.65,12.5,6,0,0,1,0,1,0
32,0.27,4.6,290,22.0,104.0,8.34,0.44,9.0,7,1,1,0,1,0,0
33,0.44,1.9,850,9.0,22.0,8.28,0.55,9.5,5,0,1,0,0,1,0
34,0.36,13.2,670,53.0,178.0,8.01,0.48,9.0,8,1,1,0,0,0,0
35,0.31,17.3,550,32.0,197.0,8.13,0.46,9.0,8,1,1,0,1,0,0
36,0.35,1.4,500,23.0,83.0,8.17,0.48,12.0,9,1,1,0,0,0,0
37,0.07,7.1,440,34.0,145.0,8.34,0.57,9.7,8,1,0,1,0,1,0
38,0.0,1.4,570,15.0,26.0,8.36,0.45,9.5,5,0,0,1,0,1,0
39,0.39,8.0,280,22.0,84.0,8.11,0.66,10.8,8,1,1,0,1,0,0
40,0.19,2.0,810,17.0,108.0,8.32,0.54,9.5,5,0,0,1,0,1,0
41,0.35,1.6,880,16.0,39.0,8.34,0.55,9.2,5,0,1,0,0,1,0
42,0.28,14.7,510,29.0,149.0,7.96,0.39,9.0,9,1,1,0,1,0,0
43,0.33,15.7,530,51.0,190.0,8.22,0.51,9.7,8,1,1,0,0,0,0
44,0.0,1.9,800,22.0,39.0,8.4,0.74,9.7,5,0,1,0,1,1,0
46,0.27,10.6,390,31.0,119.0,8.27,0.3,9.3,8,1,0,1,0,0,0
47,0.26,2.1,390,8.0,143.0,8.05,0.74,9.8,7,1,1,0,1,0,0
48,0.36,1.4,450,11.0,119.0,8.17,0.47,9.4,6,1,0,1,0,0,0
49,0.0,1.9,650,9.0,18.0,8.46,0.65,9.2,5,0,1,0,1,1,0
50,0.16,1.8,650,3.0,16.0,8.42,0.92,10.5,7,0,0,1,0,1,0
51,0.24,9.6,1190,56.0,178.0,8.15,0.44,10.2,8,1,1,0,1,0,0
52,0.23,1.4,470,20.0,77.0,8.32,0.62,11.4,7,1,1,0,0,0,0
53,0.33,1.2,490,12.0,117.0,8.46,0.44,11.5,7,1,1,0,0,1,0
54,0.37,9.7,320,17.0,50.0,8.08,0.66,12.0,8,1,1,0,1,0,0
55,0.23,5.0,530,29.0,106.0,8.13,0.52,9.0,7,1,0,1,0,0,0
57,0.07,1.3,350,26.0,102.0,8.5,0.35,10.6,8,1,0,1,0,0,0
58,0.46,2.5,730,5.0,27.0,8.05,0.64,9.5,5,0,0,1,0,1,0
59,0.41,7.0,460,0.0,194.0,8.14,0.48,9.4,7,1,1,0,0,0,0
60,0.27,9.9,470,26.0,101.0,8.34,0.5,9.9,8,1,1,0,1,0,0
61,0.38,14.9,320,60.0,181.0,8.18,0.61,9.3,9,1,0,1,0,0,0
62,0.13,2.1,1020,17.0,36.0,8.24,0.53,11.2,6,0,0,1,0,1,0
63,0.31,6.3,290,41.0,131.0,8.08,0.49,10.8,8,1,1,0,0,0,0
64,0.4,2.6,920,13.0,52.0,8.22,0.64,10.0,7,0,1,0,0,1,0
65,0.34,9.7,350,26.0,143.0,8.08,0.49,9.8,8,1,1,0,0,0,0
66,0.48,8.8,560,35.0,167.0,8.04,0.47,9.4,7,1,0,1,0,0,0
67,0.3,13.9,290,34.0,131.0,8.36,0.5,12.0,9,1,1,0,0,0,0
68,0.42,7.1,450,41.0,169.0,8.17,0.43,10.6,7,1,1,0,0,0,0
69,0.25,12.5,340,38.0,152.0,8.33,0.43,9.4,7,1,1,0,0,0,0
71,0.34,16.3,510,56.0,197.0,8.49,0.42,9.8,7,1,1,0,0,0,0
72,0.27,13.9,570,45.0,155.0,7.94,0.41,8.8,10,1,1,0,1,0,0
73,0.62,11.0,470,66.0,178.0,8.16,0.5,8.7,7,1,0,1,0,0,0
74,0.37,3.2,210,20.0,80.0,8.39,0.47,12.0,7,1,1,0,0,0,0
75,0.31,2.2,440,29.0,128.0,8.34,0.64,10.9,10,1,1,0,0,0,0
76,0.42,1.7,450,49.0,154.0,8.0,0.6,10.4,8,1,1,0,1,0,0
78,0.49,2.7,980,12.0,42.0,8.16,0.61,10.3,5,0,0,1,0,0,0
79,0.41,12.9,440,79.5,182.0,8.24,0.78,10.2,8,1,1,0,1,0,0
80,0.26,9.55,360,35.0,91.0,7.98,0.37,12.4,8,1,0,1,0,0,0
