,quality,bake temp,chill time,calories,density,bake time,weight,butter type,chocolate,raisins,oats,nuts,peanut butter
0,8,300,15.0,136.0,0.99367,12.1,15.2,1,0,1,0,0,0
1,7,520,34.0,113.0,0.99429,8.4,12.4,1,0,1,0,0,0
2,9,360,33.0,106.0,0.98746,14.0,9.4,1,1,0,0,1,0
3,7,490,41.0,124.0,0.9963,10.5,12.2,1,1,0,0,0,0
4,5,770,6.0,33.0,0.9974,9.4,19.8,0,1,0,1,1,0
5,7,500,23.0,139.0,0.9990399999999999,9.2,13.2,1,1,0,0,0,0
6,9,410,31.0,102.0,0.99221,10.9,13.2,1,1,0,0,0,0
7,9,440,30.0,180.0,0.9941,10.8,15.2,1,1,0,0,0,0
8,5,700,13.0,40.0,0.997,9.1,14.2,0,1,0,1,1,0
9,7,330,59.0,186.0,0.99754,9.4,13.8,1,1,0,0,1,0
10,9,300,45.0,197.0,0.9938,12.3,15.2,1,1,0,0,0,0
11,9,370,32.0,140.0,0.9895,12.8,12.6,1,1,0,0,0,0
12,8,300,18.0,117.0,0.99116,13.0,13.8,1,1,0,0,0,0
14,7,500,43.0,163.0,0.9999,9.2,15.2,1,0,1,0,0,0
15,7,360,34.0,200.0,0.9937,10.0,13.0,1,0,1,0,0,0
17,8,450,25.0,118.0,0.9922200000000001,11.0,12.0,1,1,0,0,1,0
20,9,240,14.0,130.0,0.9918,12.5,15.2,1,1,0,0,1,0
21,7,500,36.0,140.0,0.9913799999999999,11.2,15.6,1,1,0,0,0,0
23,9,320,14.0,71.0,0.9891200000000001,13.0,13.4,1,1,0,1,0,0
24,5,1090,31.0,119.0,0.9980100000000001,9.1,16.8,0,0,1,0,1,0
25,7,520,48.0,185.0,0.9934,9.4,12.6,1,1,0,0,0,0
26,8,450,39.0,193.0,0.9986,9.2,14.8,1,1,0,1,0,0
27,7,420,23.0,218.5,0.9935,9.8,12.2,1,1,0,0,0,0
28,10,480,35.0,103.0,0.9911,12.0,13.6,1,0,1,0,0,0
29,6,820,6.0,11.0,0.9953799999999999,12.2,15.2,0,1,0,0,1,0
30,8,440,31.0,185.0,0.998,10.0,16.0,1,1,0,0,0,0
31,6,440,16.0,70.0,0.9935200000000001,12.5,12.2,0,0,1,0,1,0
32,7,290,22.0,104.0,0.9949,9.0,11.0,1,1,0,1,0,0
33,5,850,9.0,22.0,0.99708,9.5,18.6,0,1,0,0,1,0
34,8,670,53.0,178.0,0.9976,9.0,14.8,1,1,0,0,0,0
35,8,550,32.0,197.0,1.0002,9.0,14.6,1,1,0,1,0,0
